Age,Fare,Survived,Pclass_1,Pclass_2,Pclass_3,Sex_female,Sex_male,SibSp_True,SibSp_False,SibSp_Unknown,Parch_True,Parch_False,Parch_Unknown
0.275,0.014151057562208049,0,0,0,1,0,1,1,0,0,1,1,0
0.475,0.13913573538264068,1,1,0,0,1,0,1,0,0,1,1,0
0.325,0.015468569817999833,1,0,0,1,1,0,1,1,0,1,1,0
0.4375,0.10364429745562033,1,1,0,0,1,0,1,0,0,1,1,0
0.4375,0.015712553569072387,0,0,0,1,0,1,1,1,0,1,1,0
0.0,0.01650950209357577,0,0,0,1,0,1,1,1,0,0,0,1
0.675,0.10122885832000206,0,1,0,0,0,1,1,1,0,1,1,0
0.025,0.04113566043083236,0,0,0,1,0,1,1,0,0,1,0,0
0.3375,0.021730754366528396,1,0,0,1,1,0,1,1,0,1,0,0
0.175,0.058694292654020104,1,0,1,0,1,0,1,0,0,1,1,0
0.05,0.03259622914329302,1,0,0,1,1,0,1,0,0,1,0,0
0.725,0.051822148727810165,1,1,0,0,1,0,1,1,0,1,1,0
0.25,0.015712553569072387,0,0,0,1,0,1,1,1,0,1,1,0
0.4875,0.06104473451835265,0,0,0,1,0,1,1,0,0,1,0,0
0.175,0.015330377421392339,0,0,0,1,1,0,1,1,0,1,1,0
0.6875,0.03122992013728673,1,0,1,0,1,0,1,1,0,1,1,0
0.025,0.056848213999904744,0,0,0,1,0,1,1,0,0,1,0,0
0.0,0.025374310111545468,1,0,1,0,0,1,1,1,0,0,0,1
0.3875,0.03513366015444757,0,0,0,1,1,0,1,0,0,1,1,0
0.0,0.014102260811993537,1,0,0,1,1,0,1,1,0,0,0,1
0.4375,0.050748620223090936,0,0,1,0,0,1,1,1,0,1,1,0
0.425,0.025374310111545468,1,0,1,0,0,1,1,1,0,1,1,0
0.1875,0.015671954672893913,1,0,0,1,1,0,1,1,0,1,1,0
0.35,0.06929138530460492,1,1,0,0,0,1,1,1,0,1,1,0
0.1,0.04113566043083236,0,0,0,1,1,0,1,0,0,1,0,0
0.475,0.061264319894317944,1,0,0,1,1,0,1,0,0,1,0,0
0.0,0.014102260811993537,0,0,0,1,0,1,1,1,0,0,0,1
0.2375,0.5133418122566505,0,1,0,0,0,1,1,0,0,1,0,0
0.0,0.01537917417160685,1,0,0,1,1,0,1,1,0,0,0,1
0.0,0.015411575213749284,0,0,0,1,0,1,1,1,0,0,0,1
0.5,0.05410739813385612,0,1,0,0,0,1,1,1,0,1,1,0
0.0125,0.2859895551532101,1,1,0,0,1,0,1,1,0,0,0,1
0.0,0.015126992566498259,1,0,0,1,1,0,1,1,0,0,0,1
0.825,0.020494635090094415,0,0,1,0,0,1,1,1,0,1,1,0
0.35,0.16038672010106,0,1,0,0,0,1,1,0,0,1,1,0
0.525,0.10149724044618187,0,1,0,0,0,1,1,0,0,1,1,0
0.0,0.014110458666029575,1,0,0,1,0,1,1,1,0,0,0,1
0.2625,0.015712553569072387,0,0,0,1,0,1,1,1,0,1,1,0
0.225,0.03513366015444757,0,0,0,1,1,0,1,0,0,1,1,0
0.175,0.021942337075458514,1,0,0,1,1,0,1,0,0,1,1,0
0.5,0.018493968331299484,0,0,0,1,1,0,1,0,0,1,1,0
0.3375,0.04098927018018883,0,0,1,0,1,0,1,0,0,1,1,0
0.0,0.015411575213749284,0,0,0,1,0,1,1,1,0,0,0,1
